nfull,nabb,if,,
Rehabilitation Psychology,Rehabil Psychol,1.539,,
Journal Of Sex & Marital Therapy,J Sex Marital Ther,1.514,,
Applied Psychophysiology And Biofeedback,Appl Psychophys Biof,1.481,,
Journal Of Family Therapy,J Fam Ther,1.434,,
Child And Adolescent Mental Health,Child Adol Ment H-Uk,1.405,,
International Journal Of Clinical And Experimental Hypnosis,Int J Clin Exp Hyp,1.386,,
Criminal Justice And Behavior,Crim Justice Behav,1.383,,
Journal Of Applied Behavior Analysis,J Appl Behav Anal,1.348,,
Journal Of Trauma & Dissociation,J Trauma Dissociatio,1.294,,
Diagnostica,Diagnostica,1.265,,
Journal Of Social And Clinical Psychology,J Soc Clin Psychol,1.222,,
Behavior Modification,Behav Modif,1.219,,
Clinical Child Psychology And Psychiatry,Clin Child Psychol P,1.192,,
Eating Disorders,Eat Disord,1.175,,
Sexual And Relationship Therapy,Sex Relatsh Ther,1.109,,
Journal Of Clinical Psychology In Medical Settings,J Clin Psychol Med S,1.085,,
Journal Of Psychosomatic Obstetrics & Gynecology,J Psychosom Obst Gyn,1.065,,
International Journal Of Cognitive Therapy,Int J Cogn Ther,1.062,,
Psychosis-Psychological Social And Integrative Approaches,Psychosis,1.044,,
International Journal Of Mental Health And Addiction,Int J Ment Health Ad,1.018,,
Psychotherapie Psychosomatik Medizinische Psychologie,Psychother Psych Med,1.018,,
Behavior Analyst,Behav Analyst,1,,
Clinical Psychologist,Clin Psychol-Uk,0.967,,
Journal Of Dual Diagnosis,J Dual Diagn,0.839,,
Psychoanalytic Psychology,Psychoanal Psychol,0.833,,
American Indian And Alaska Native Mental Health Research,Am Indian Alaska Nat,0.812,,
Journal Of Family Violence,J Fam Violence,0.767,,
Behavioral Psychology-Psicologia Conductual,Behav Psychol,0.766,,
International Journal Of Sexual Health,Int J Sex Health,0.729,,
Child & Family Behavior Therapy,Child Fam Behav Ther,0.714,,
Behaviour Change,Behav Change,0.711,,
Arts In Psychotherapy,Art Psychother,0.695,,
Terapia Psicologica,Ter Psicol,0.695,,
Zeitschrift Fur Sexualforschung,Z Sexualforsch,0.69,,
Zeitschrift Fur Psychosomatische Medizin Und Psychotherapie,Z Psychosom Med Psyc,0.659,,
Verhaltenstherapie,Verhaltenstherapie,0.622,,
Journal Of Aggression Maltreatment & Trauma,J Aggress Maltreat T,0.598,,
Zeitschrift Fur Psychiatrie Psychologie Und Psychotherapie,Z Psychiatr Psych Ps,0.585,,
Psychotherapeut,Psychotherapeut,0.557,,
Journal Of Child Sexual Abuse,J Child Sex Abus,0.536,,
Zeitschrift Fur Gesundheitspsychologie,Z Gesundheitspsychol,0.529,,
Behavioral Interventions,Behav Intervent,0.5,,
Zeitschrift Fur Klinische Psychologie Und Psychotherapie,Z Kl Psych Psychoth,0.5,,
American Journal Of Family Therapy,Am J Fam Ther,0.492,,
Journal Of Cognitive And Behavioral Psychotherapies,J Cogn Behav Psychot,0.438,,
Behavioral Disorders,Behav Disorders,0.429,,
Journal Of Rational-Emotive And Cognitive-Behavior Therapy,J Ration-Emot Cogn-B,0.419,,
Gruppenpsychotherapie Und Gruppendynamik,Gruppenpsychother Gr,0.371,,
American Journal Of Clinical Hypnosis,Am J Clin Hypn,0.367,,
International Journal Of Group Psychotherapy,Int J Group Psychoth,0.365,,
Clinical Case Studies,Clin Case Stud,0.359,,
Journal Of Constructivist Psychology,J Constr Psychol,0.333,,
Revista Argentina De Clinica Psicologica,Rev Argent Clin Psic,0.28,,
Revista Iberoamericana De Diagnostico Y Evaluacion-E Avaliacao Psicologica,Rev Iberoam Diagn Ev,0.25,,
Journal Of Evidence-Based Psychotherapies,J Evid-Based Psychot,0.176,,
,,,,
,,,,
