nfull,nabb,if,,
Journal Of Leadership & Organizational Studies,J Leadersh Org Stud,1.092,,
Journal Of Family Business Strategy,J Fam Bus Strateg,1.088,,
Small Group Research,Small Gr Res,1.078,,
Management International Review,Manage Int Rev,1.076,,
Scandinavian Journal Of Management,Scand J Manag,1.076,,
Journal Of Contingencies And Crisis Management,J Conting Crisis Man,1.073,,
Career Development International,Career Dev Int,1.054,,
Research-Technology Management,Res Technol Manage,1.052,,
Journal Of Destination Marketing & Management,J Destin Mark Manage,1.034,,
Systems Research And Behavioral Science,Syst Res Behav Sci,0.991,,
Disaster Prevention And Management,Disaster Prev Manag,0.987,,
Service Business,Serv Bus,0.985,,
Information Systems And E-Business Management,Inf Syst E-Bus Manag,0.953,,
Journal Of Management Inquiry,J Manage Inquiry,0.943,,
Employee Relations,Empl Relat,0.933,,
International Journal Of Logistics-Research And Applications,Int J Logist-Res App,0.933,,
International Journal Of Logistics Management,Int J Logist Manag,0.917,,
Mis Quarterly Executive,Mis Q Exec,0.909,,
Total Quality Management & Business Excellence,Total Qual Manag Bus,0.896,,
Ima Journal Of Management Mathematics,Ima J Manag Math,0.878,,
Industry And Innovation,Ind Innov,0.87,,
International Journal Of Technology Management,Int J Technol Manage,0.867,,
Asian Business & Management,Asian Bus Manag,0.85,,
Technology Analysis & Strategic Management,Technol Anal Strateg,0.845,,
Journal Of Economics & Management Strategy,J Econ Manage Strat,0.823,,
Journal Of Forecasting,J Forecasting,0.818,,
Review Of Managerial Science,Rev Manag Sci,0.814,,
Socio-Economic Planning Sciences,Socio-Econ Plan Sci,0.796,,
Cross Cultural Management-An International Journal,Cross Cult Manag,0.778,,
International Journal Of Strategic Property Management,Int J Strateg Prop M,0.776,,
Service Industries Journal,Serv Ind J,0.776,,
Asia Pacific Journal Of Human Resources,Asia Pac J Hum Resou,0.769,,
Service Science,Serv Sci,0.711,,
Personnel Review,Pers Rev,0.704,,
Review Of Industrial Organization,Rev Ind Organ,0.7,,
Computational Economics,Comput Econ,0.691,,
Journal Of Sport Management,J Sport Manage,0.684,,
Asia Pacific Business Review,Asia Pac Bus Rev,0.683,,
Human Resource Development Review,Hum Resour Dev Rev,0.659,,
International Entrepreneurship And Management Journal,Int Entrep Manag J,0.659,,
Nonprofit Management & Leadership,Nonprofit Manag Lead,0.653,,
Operations Management Research,Oper Manage Res,0.632,,
Interfaces,Interfaces,0.631,,
International Journal Of Selection And Assessment,Int J Select Assess,0.61,,
Journal Of Organizational Behavior Management,J Organ Behav Manage,0.605,,
Information Technology & Management,Inform Technol Manag,0.6,,
Knowledge Management Research & Practice,Knowl Man Res Pract,0.595,,
Journal Of Organizational Change Management,J Organ Change Manag,0.577,,
Journal For East European Management Studies,J E Eur Manag Stud,0.576,,
Negotiation And Conflict Management Research,Negot Confl Manag R,0.543,,
Organizational Dynamics,Organ Dyn,0.522,,
Systemic Practice And Action Research,Syst Pract Act Res,0.5,,
Transportation Journal,Transport J,0.488,,
International Journal Of Arts Management,Int J Arts Manag,0.484,,
Action Research,Action Res-London,0.479,,
Engineering Management Journal,Eng Manag J,0.468,,
Leadership & Organization Development Journal,Leadership Org Dev J,0.462,,
Baltic Journal Of Management,Balt J Manag,0.457,,
European Journal Of International Management,Eur J Int Manag,0.457,,
Negotiation Journal,Negotiation J,0.451,,
International Journal Of Manpower,Int J Manpower,0.446,,
Science Technology And Society,Sci Technol Soc,0.421,,
Zeitschrift Fur Personalforschung,Z Personalforsch,0.414,,
Canadian Journal Of Administrative Sciences-Revue Canadienne Des Sciences De L Administration,Can J Adm Sci,0.405,,
Journal Of Management & Organization,J Manage Organ,0.405,,
Chinese Management Studies,Chin Manag Stud,0.379,,
Culture And Organization,Cult Organ,0.354,,
Rae-Revista De Administracao De Empresas,Rae-Rev Admin Empres,0.311,,
Academia-Revista Latinoamericana De Administracion,Acad-Rev Latinoam Ad,0.25,,
Advances In Strategic Management-A Research Annual,Adv Strateg Manage,0.217,,
South African Journal Of Business Management,S Afr J Bus Manag,0.2,,
South African Journal Of Economic And Management Sciences,S Afr J Econ Manag S,0.185,,
Journal Of Organizational And End User Computing,J Organ End User Com,0.156,,
Innovation-Management Policy & Practice,Innov-Manag Policy P,0.088,,
Betriebswirtschaftliche Forschung Und Praxis,Betrieb Forsch Prax,0.06,,
Rbgn-Revista Brasileira De Gestao De Negocios,Rbgn-Rev Bras Gest N,0.047,,
Journal Of Service Theory And Practice,J Serv Theor Pract,Not Available,,
,,,,
,,,,
