nfull,nabb,if,,
Transcultural Psychiatry,Transcult Psychiatry,1.861,,
Child Psychiatry & Human Development,Child Psychiat Hum D,1.839,,
Journal Of Nervous And Mental Disease,J Nerv Ment Dis,1.836,,
Journal Of Ect,J Ect,1.833,,
Archives Of Suicide Research,Arch Suicide Res,1.808,,
Journal Of Child And Family Studies,J Child Fam Stud,1.802,,
Mental Health And Physical Activity,Ment Health Phys Act,1.778,,
Behavioral Medicine,Behav Med,1.737,,
Psychology And Psychotherapy-Theory Research And Practice,Psychol Psychother-T,1.661,,
Revista De Psiquiatria Y Salud Mental,Rev Psiquiatr Salud,1.65,,
Psychiatrische Praxis,Psychiat Prax,1.612,,
Anxiety Stress And Coping,Anxiety Stress Copin,1.596,,
Child And Adolescent Psychiatric Clinics Of North America,Child Adol Psych Cl,1.59,,
Annals Of Clinical Psychiatry,Ann Clin Psychiatry,1.583,,
Psychological Trauma-Theory Research Practice And Policy,Psychol Trauma-Us,1.573,,
Journal Of Obsessive-Compulsive And Related Disorders,J Obsess-Compuls Rel,1.542,,
Journal Of The American Psychiatric Nurses Association,J Am Psychiat Nurses,1.535,,
Crisis-The Journal Of Crisis Intervention And Suicide Prevention,Crisis,1.527,,
Psychiatry Investigation,Psychiat Invest,1.5,,
Criminal Behaviour And Mental Health,Crim Behav Ment Heal,1.446,,
Annals Of General Psychiatry,Ann Gen Psychiatr,1.411,,
Child And Adolescent Mental Health,Child Adol Ment H-Uk,1.405,,
Personality And Mental Health,Personal Ment Health,1.4,,
International Journal Of Clinical And Experimental Hypnosis,Int J Clin Exp Hyp,1.386,,
Journal Of Mental Health Policy And Economics,J Ment Health Policy,1.367,,
International Journal Of Social Psychiatry,Int J Soc Psychiatr,1.361,,
Research In Autism Spectrum Disorders,Res Autism Spect Dis,1.317,,
Journal Of Trauma & Dissociation,J Trauma Dissociatio,1.294,,
American Journal Of Orthopsychiatry,Am J Orthopsychiat,1.276,,
Nordic Journal Of Psychiatry,Nord J Psychiat,1.273,,
International Journal Of Mental Health Systems,Int J Ment Health Sy,1.229,,
Journal Of The American Academy Of Psychiatry And The Law,J Am Acad Psychiatry,1.222,,
Academic Psychiatry,Acad Psychiatr,1.217,,
Archives Of Psychiatric Nursing,Arch Psychiat Nurs,1.217,,
Clinical Child Psychology And Psychiatry,Clin Child Psychol P,1.192,,
Eating Disorders,Eat Disord,1.175,,
Zeitschrift Fur Kinder-Und Jugendpsychiatrie Und Psychotherapie,Z Kinder Jug-Psych,1.132,,
International Journal Of Cognitive Therapy,Int J Cogn Ther,1.062,,
Journal Of Psychiatric And Mental Health Nursing,J Psychiatr Ment Hlt,1.055,,
Psychosis-Psychological Social And Integrative Approaches,Psychosis,1.044,,
Culture Medicine And Psychiatry,Cult Med Psychiat,1.032,,
International Journal Of Mental Health And Addiction,Int J Ment Health Ad,1.018,,
International Journal Of Law And Psychiatry,Int J Law Psychiat,1,,
Perspectives In Psychiatric Care,Perspect Psychiatr C,1,,
Issues In Mental Health Nursing,Issues Ment Health N,0.99,,
Community Mental Health Journal,Community Ment Hlt J,0.979,,
Psychiatric Quarterly,Psychiat Quart,0.978,,
Asia-Pacific Psychiatry,Asia-Pac Psychiat,0.931,,
Bulletin Of The Menninger Clinic,B Menninger Clin,0.919,,
Journal Of Dual Diagnosis,J Dual Diagn,0.839,,
International Journal Of Psychiatry In Medicine,Int J Psychiat Med,0.824,,
International Journal Of Forensic Mental Health,Int J Forensic Ment,0.767,,
Rivista Di Psichiatria,Riv Psichiatr,0.763,,
Australasian Psychiatry,Australas Psychiatry,0.728,,
Journal Of Mental Health Research In Intellectual Disabilities,J Ment Health Res In,0.722,,
European Journal Of Psychiatry,Eur J Psychiat,0.711,,
Psychiatry Psychology And Law,Psychiat Psychol Law,0.654,,
Psychiatric Rehabilitation Journal,Psychiatr Rehabil J,0.631,,
Journal Of Forensic Psychiatry & Psychology,J Aggress Maltreat T,0.598,,
Journal Of Aggression Maltreatment & Trauma,J Forensic Psychi Ps,0.598,,
Clinical Gerontologist,Clin Gerontologist,0.589,,
Journal Of The American Psychoanalytic Association,J Am Psychoanal Ass,0.459,,
Praxis Der Kinderpsychologie Und Kinderpsychiatrie,Prax Kinderpsychol K,0.42,,
History Of Psychiatry,Hist Psychiatr,0.415,,
International Journal Of Mental Health Promotion,Int J Ment Health Pr,0.415,,
Evolution Psychiatrique,Evol Psychiatr,0.378,,
Clinical Case Studies,Clin Case Stud,0.359,,
Turk Psikiyatri Dergisi,Turk Psikiyatr Derg,0.358,,
Recht & Psychiatrie,Recht Psychiatr,0.35,,
Salud Mental,Salud Ment,0.269,,
Psychiatric Annals,Psychiat Ann,0.264,,
Contemporary Psychoanalysis,Contemp Psychoanal,0.258,,
South African Journal Of Psychiatry,Sajp-S Afr J Psychi,0.193,,
Psychiatrie De L Enfant,Psychiat Enfant,0.089,,
,,,,
,,,,
