nfull,nabb,if,,
Rilce-Revista De Filologia Hispanica,Rilce-Rev Filol Hisp,0.179,,
Narrative Inquiry,Narrat Inq,0.175,,
Names-A Journal Of Onomastics,Names,0.171,,
Rla-Revista De Linguistica Teorica Y Aplicada,Rla-Rev Linguist Teo,0.167,,
Circulo De Linguistica Aplicada A La Comunicacion,Circ Linguist Apl Co,0.156,,
Revista Espanola De Linguistica Aplicada,Rev Esp Linguist Apl,0.15,,
Across Languages And Cultures,Across Lang Cult,0.148,,
Language And Linguistics,Lang Linguist-Taiwan,0.145,,
Journal Of Historical Pragmatics,J Hist Pragmat,0.136,,
Revista Signos,Rev Signos,0.132,,
Journal Of Chinese Linguistics,J Chinese Linguist,0.128,,
Pragmatics & Cognition,Pragmat Cogn,0.125,,
Sintagma,Sintagma,0.118,,
Poznan Studies In Contemporary Linguistics,Poz Stud Contemp Lin,0.093,,
Zeitschrift Fur Dialektologie Und Linguistik,Z Dialektol Linguist,0.083,,
Babel-Revue Internationale De La Traduction-International Journal Of Translation,Babel-Amsterdam,0.082,,
Linguistics And Education,Linguist Educ,0.077,,
Estudios Filologicos,Estud Filol-Valdivia,0.075,,
Acta Linguistica Hungarica,Acta Linguist Hungar,0.074,,
Language & History,Lang Hist,0.071,,
European Journal Of English Studies,Eur J Engl Stud,0.051,,
Revue Francaise De Linguistique Appliquee,Rev Fr Ling Appl,0.031,,
Atlantis-Journal Of The Spanish Association Of Anglo-American Studies,Atlantis-Spain,0.029,,
Revue Roumaine De Linguistique-Romanian Review Of Linguistics,Rev Roum Linguist,0.022,,
Dialectologia Et Geolinguistica,Dialectol Geolinguis,0,,
Syntax And Semantics,Syntax Semantics,0,,
Annual Review Of Linguistics,Annu Rev Linguist,Not Available,,
Digital Scholarship In The Humanities,Digit Scholarsh Hum,Not Available,,
,,,,
