"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'OPERATIONS%20RESEARCH%20%26%20MANAGEMENT%20SCIENCE','ORTHOPEDICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
104,JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,J BACK MUSCULOSKELET,0.956
104,Systems Engineering,SYSTEMS ENG,0.956
106,NETWORKS,NETWORKS,0.943
107,PROSTHETICS AND ORTHOTICS INTERNATIONAL,PROSTHET ORTHOT INT,0.93
108,Top,TOP,0.927
109,Memetic Computing,MEMET COMPUT,0.9
109,OPTIMIZATION AND ENGINEERING,OPTIM ENG,0.9
111,Brazilian Journal of Physical Therapy,BRAZ J PHYS THER,0.898
112,Discrete Optimization,DISCRETE OPTIM,0.889
112,Hip International,HIP INT,0.889
114,IMA Journal of Management Mathematics,IMA J MANAG MATH,0.878
115,QUEUEING SYSTEMS,QUEUEING SYST,0.875
116,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,INT J TECHNOL MANAGE,0.867
117,Eklem Hastaliklari ve Cerrahisi-Joint Diseases and Related Surgery,EKLEM HAST CERRAHISI,0.845
118,OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,0.841
119,Acta Orthopaedica Belgica,ACTA ORTHOP BELG,0.837
120,OPTIMIZATION,OPTIMIZATION,0.822
121,Journal of Systems Science and Systems Engineering,J SYST SCI SYST ENG,0.804
122,SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECON PLAN SCI,0.796
123,Foot and Ankle Clinics,FOOT ANKLE CLIN,0.794
124,Journal of Plastic Surgery and Hand Surgery,J PLAST SURG HAND SU,0.791
125,NAVAL RESEARCH LOGISTICS,NAV RES LOG,0.787
126,Journal of Industrial and Management Optimization,J IND MANAG OPTIM,0.776
127,Studies in Informatics and Control,STUD INFORM CONTROL,0.723
128,European Journal of Industrial Engineering,EUR J IND ENG,0.718
129,Orthopaedic Surgery,ORTHOP SURG,0.655
130,Indian Journal of Orthopaedics,INDIAN J ORTHOP,0.64
131,INTERFACES,INTERFACES,0.631
132,OPERATIONS RESEARCH LETTERS,OPER RES LETT,0.627
132,Quality Technology and Quantitative Management,QUAL TECHNOL QUANT M,0.627
134,Acta Ortopedica Brasileira,ACTA ORTOP BRAS,0.6
134,Operational Research,OPER RES-GER,0.6
136,Orthopaedic Nursing,ORTHOP NURS,0.581
137,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,APPL STOCH MODEL BUS,0.574
138,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,0.552
139,Journal of Orthopaedic Surgery,J ORTHOP SURG-HONG K,0.542
140,MATHEMATICAL METHODS OF OPERATIONS RESEARCH,MATH METHOD OPER RES,0.526
141,International Journal of Shoulder Surgery,INT J SHOULDER SURG,0.519
142,Zeitschrift fur Orthopadie und Unfallchirurgie,Z ORTHOP UNFALLCHIR,0.51
143,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,J AM PODIAT MED ASSN,0.483
144,Journal of Systems Engineering and Electronics,J SYST ENG ELECTRON,0.468
145,SPORTVERLETZUNG-SPORTSCHADEN,SPORTVERLETZ SPORTSC,0.451
146,JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,J PEDIATR ORTHOP B,0.449
147,Chirurgie de la Main,CHIR MAIN,0.439
148,ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH,ASIA PAC J OPER RES,0.425
149,SORT-Statistics and Operations Research Transactions,SORT-STAT OPER RES T,0.414
150,Acta Orthopaedica et Traumatologica Turcica,ACTA ORTHOP TRAUMATO,0.398
151,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,PROBAB ENG INFORM SC,0.39
152,ORTHOPADE,ORTHOPADE,0.373
153,RAIRO-OPERATIONS RESEARCH,RAIRO-OPER RES,0.358
154,ISOKINETICS AND EXERCISE SCIENCE,ISOKINET EXERC SCI,0.357
155,Pacific Journal of Optimization,PAC J OPTIM,0.307
156,INFOR,INFOR,0.095
Copyright å© 2017 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
